"keys","zh","en"
"content_9bcacd1db87d4f5d82f11bab51b81728","如果是有人经常来这间小屋，那么食物应该也会比较新吧？",""
"content_6456aabf179e49498ba366814c8caf95","确实....不过也有可能是来这里的人基本不动屋里的食物！",""
"content_5580889766404c099285e5335d97b3cf","嗯，关于这点谁都说不准，我们继续话题吧。",""
"content_4e485f52b77a4ab5bdb2e7bdf7ab0444","这里是哪里呢？我们乘坐的是从中国飞到俄罗斯的飞机，我们现在处于的位置应该是在航线上。",""
"content_f7828020bccd4420ba90c6dbcb292d42","前提是飞机没偏移航线，在这种情况下不好说...",""
"content_3f29b2af41104bdc8ffce0a7ac3ff937","...的确，要把这一点也考虑进去，如果有世界地图也许就能猜到我们的位置了...",""
"content_7a77d05e9b014d9592c515cf474bfa36","地图的话这里没有吗？",""
"content_0cf5e595b464410391e91735a28f96fd","这么一说，小屋里还有很多没探索的地方。",""
"content_0e53bd56e17e42519be8854d80459484","待会探索一下，看看有没有什么有用的东西。",""
"content_116d01bb21dd404eb47a1223b4fff920","一个比较关键的问题是，救援什么时候会到？",""
"content_2c07b7f0a5e140e29e1ab9dc870015b8","...这个问题估计谁也不知道，不过飞机事故一般来说都会比较重视，应该很快吧...",""
"content_08e5ca0b644f409ca1d6c0986f77eef1","我们能够这样生还肯定是一个好事，不过如果站在外面的角度来看，几个从飞机掉下来的人生存概率有多高？",""
"content_5c00097f9c1f45e5aa682649f174135d","...的确，基本上都是认定为死亡了...",""
"content_a1f980c15ada4ae6b5afd8547de0352d","我们能够这样生还肯定是一个好事，不过如果站在外面的角度来看，几个从飞机掉下来的人生存概率有多高？",""
"content_bf5a55b612e047c99ebfb4762b325504","可是我们还没死！！",""
"content_c2b56e0777ac4cac8af33fbc6f0b1d55","虽然是这样，不过从外面的角度看可没这么乐观。",""
"content_1d6615cb90a9463fa9b9a92712219457","怎么这样！！可是我们都还活着！！！",""
"content_0b7035e1735c40908ce313bd4bba7179","虽然我说的话不是绝对的，不过大家最好有这样一个心理预期。",""
"content_cc7469734cba4a34b0a50d9ffbd92b08","虽然我说的话不是绝对的，不过大家最好有这样一个心理预期。",""
"content_6a74b1f1abdf41e6a71d4b4a03991590",".....",""
"content_0fc0afe8c3fb41e6a0cbb36e3193ce34",".....",""
"content_431ac007d8de4433941a84afc6aaf471","如果找不到可能就会把我们定为死亡，最后从救援变为搜寻我们的尸体，放缓搜寻行动了...",""
"content_88886f0dfec54eb68115986f5311c8df","嗯嗯，接下来我们就按照刚才说的，先搜索一下小屋看看能不能找到一些线索吧。",""
"content_4ae39490dbb34b60aad7bca23e7c2e6f","醒了吗？身体感觉怎么样？",""
"content_48a6efe3bf464675a3ab96e1af6a985c",".....",""
"content_24f3c11f1b8a4be898b1f49ee6acdf59","这箱子看起来密封得很好，打开有点麻烦...",""
"content_ad106e22c6dd4675a9c9d347f53542f2","现在我们在一间小屋避难，刚才我们都从飞机上甩下来了...",""
"content_f7cd9915b9054585abc424021151c756","那我的爸妈现在在哪里！？他们还在飞机上！！",""
"content_9aaf96ca1d1049faba39563f250655c7","(在飞机上的话，恐怕他的父母已经....)",""
"content_cb1b63704c264f25a1c18e7336df4ae5","(该怎么和小男孩说呢？)",""
"content_c0168a03e2c1410e9642adce50649f15","你对一个小孩说些什么啊！",""
"content_95ff72bbbf774500a75d1dee5d8dc47b","既然我们都能活下来，相信在飞机上的人也会没事的。",""
"content_07b747bbb0204e6381782502ca20c003",".....不可能！！",""
"content_51108f91c285494d8e3f12bfd95bae63","我爸妈肯定还活着！现在我就要去找他们！！",""
"content_e8dcfcc248dd4593a85bf0c37ca25da3","赶快出去找他！！外面还在下暴风雪啊！",""
"content_fc98ae5051a447259cbdca3bc7fbd2a8","...真的！？我要去见我爸妈！！",""
"content_9c68a05f7c3d41a4a0152fd52acc53a1","我们会去找你爸妈的，但现在暂时还不行。",""
"content_0e25577bdf1c4e0f81a97c942a5a4c7a","现在外面还在下暴风雪视野很差，如果我们出去找人根本找不到。",""
"content_5f7b7ace3ee04c69acabc2679a500480","等雪变小了再去找你爸妈，好吗？",""
"content_a93e2f83b3e144a1807941e1224ab0dd","...好吧， 不过别骗我哦！",""
"content_69d3f3bb16fe4d9bb87e7b08999e3600","嗯嗯，骗人是小狗，我们拉勾约定好吗？",""
"content_774545947858424daed093c726d30036","好！拉勾上吊一百年不许变！",""
"content_8145450868d544b7b66b3119032690da","好啦，总之我们先不出去...那么我们先各自认识下吧。",""
"content_cebfe163f75e4d33a9c54561f4221f16","(肚子响起的声音)",""
"content_02e67d62602743caaadc4edd544de1fe","刚...刚才可不是我这边发出的声音！！",""
"content_4c7808cddbcd495eb048f0bcbe36e20c","噗嗯！看来第一个难关就是食物了，不过在这里要怎么找食物呢？",""
"content_3abece92c52943269911b293c6bcd9ac","我刚才在地下室看到了一些箱子，里面可能有一些吃的。",""
"content_0bc2282dd8474d0cb8991973c81cf68c","真的！？那麻烦你再下去看看吧。 ",""
"content_ba0e0ec525524b828e63d11dc92bc7fc","我叫拉伊莎，小朋友你呢？",""
"content_0d61ae70571c420b8838fce60fc0b3b9","我..我叫乔伊。",""
"content_f2f1e7ff374246a99ffc937607136888","嗯嗯是乔伊啊。",""
"content_67aeaffc4e4c4007b89c996f364dc0e9","那么你呢？",""
"content_4b2a29560e2243feaa35c8d63b9df36b","我是沈启。",""
"content_1dc250fd815042c085047b652f5bb35a","嗯嗯，这样我们就都算认识一遍了，接下来我们就要齐心协力度过眼前的难关了！",""
"6cfecda36096456ea1d47554c83ccd56","可能也像我们一样在哪个地方",""
"5bfa3aed714740ab939a5b110f1f9e90","你的爸妈已经不在了...",""
"content_4476310e9cea4ec2b2b7a6d1245b92ae","书柜里好像大多数都是字迹不清的书，没什么有用的东西...",""
"content_b1652b87f98a463d9c9df36b44d38aa6","这个是什么？看起来太诡异了...",""
"content_3a6f16c2a06743c19fd7f0bef039cfbd","应该不用，只需要从侧面翘起...嗯，打开了！",""
"content_1361f17b5fe24be195f87f992ed4667f","箱子里面有什么？？",""
"content_2c6f0101e8dd4680a53b2e3a88f35229","不如直接砸开算了！",""
"content_5bacc338dced499d8164ea5e8c731076","我看看...一个指南针...一把斧头...和....一个无线电对讲机！！",""
"content_d3ee6d819eba4877ac50631ce4fe43ef","对讲机！？有了它我们就能联系外界来救我们了！",""
"content_ba00f919f032439daa7e7da3db22a2c5","真的！？那太好了！",""
"content_41f5aa1589c74b83a45a760c5ae76132","...这个对讲机打不开，里面没有电池。",""
"content_50f57fdd053942e2b45c4c361b83335f","可恶！就差一点了！这附近没有电池吗！？",""
"content_01a0481338bf4a05954f6f94a488a9ff","箱子里面就只有这些东西了。",""
"content_4e45bbcdde444285b3b0e705d68b279a","明明差一点就能得救了，这样真让人不爽！",""
"content_4b5380801d7b450ba384ce34833d2c71","唔唔，我还以为能够立刻离开这里了！",""
"content_65ef624735d74de78f1635dc33482c92","虽然缺了电池是很让人不爽，不过往好的方面想我们只需要得到电池就可以求救了不是吗？",""
"content_9e423727fc9a4aceb22fe0d22b86100d","...的确，这样想感觉又有希望了。",""
"content_0956ec50c1b340f1bf1547d0340d67f1","而且这里还有一些有用的东西，例如指南针...",""
"content_be7eae090baf4ed28ad054a509746f56","对对，有指南针至少我们就知道方向了！也许我们仅靠指南针就能自己下山了！",""
"content_51e269a20dd840dab1c200387c9494a5","我觉得有点难，不过知道方向对我们之后的探索很有帮助。",""
"content_6f4e63223917498696da5c2171296f40","还有斧头...有了它我们就能自己收集柴火了！",""
"content_11c7a9a6966f42ac9a862317be17352e","嗯嗯，仔细想想这些工具还挺有用的！",""
"content_3cc5245a6e56444dbc6592b46b1d51f7","接下来只需要想办法从哪里拿到电池就行了！",""
"content_94165fe52ba9451f94e7658e2a271cf1","那么要从哪里拿到电池呢？",""
"content_4fcbfcf25c9943839c23535322a0fbe4","...我大概想到一个地方可能有电池，不过从现在的情况看去那个地方有点困难...",""
"content_146fc10a16f7471b8338105afceaeacd","那还挺好，至少待在这里的时候不会无聊了。",""
"content_42aea2161de54c6a8ec0f5653b3b9e6c","有漫画书吗？",""
"content_ab487e20cb3e4749b3236f24ffb89379","我看看，好像有本叫《七龟珠》的漫画。",""
"content_c1bb92650ae5408c81ec8d9287b5c99b","《七龟珠》！？太好了，我最喜欢看《七龟珠》了！",""
"content_62eb65fd090c40a5977e976254ae69e6","..啊，还有本叫《伟大的世界地图》的书。",""
"content_c666a0a306d04d1ba5f8ceb806e4c8fa","世界地图！？对于我们现在来说这本书的确很伟大了！",""
"content_24e606a7d7e349d4926ff9c2b9c7bc41","..等等，这里有一张两年前的报纸，上面好像标注了什么。",""
"content_ec7f9d19e7fe491bb5f9544d7b7f047c","..等等，这里有一张两年前的报纸，上面好像有红字标注了什么。",""
"content_381254a07b634ef08ce6bb90718f785a","看这里，报纸上专门用红字标注了一启登山事件。",""
"content_cd0fd8c5749d4b10872cc5eafcd0dd3e","“近日，在马克洛夫雪山上发现了三位登山者的尸体。其中两位登山者身上发现多处刀伤，推测是死于外部伤害。”",""
"content_18007e08316644f5ba4baf3c78d97ea2","“而还有一位登山者远离那两位登山者的位置，死前为赤裸状态，推测死因为低温症。”",""
"content_614f97e14cd345db80086ccd185d5e81","“发现人员叫雷伊，自称当时和那死亡的三人一起登山。”",""
"content_277bf89375d841c8a6cdca2d7bcb370e","“雷伊在屋子里等待了很久也没等到那三人回来，决定也出去寻找，最后发现了三人的尸体。”",""
"content_11d89d263f6d40079c6953e354b57d33","“虽然雷伊坚称自己没有看到三人被害的现场，不过有人也在怀疑是不是雷伊杀害了那三个人。”",""
"content_40b9b5a4d8d741188fbae9a425ffe108","报纸的报道到这里就结束了。",""
"content_78ceb93251394a67980f7eea1ff1a0a1","....小屋...雪山...感觉和我们现在的环境很像呢。",""
"content_8aab61a290e94db6acdbf45ddafe227a","而且报纸上还专门圈了这一段文字，很有可能是：",""
"content_b5edd6881f6b469bb57c79bda653cc02","而且报纸上还专门圈了这一段文字，很有可能是：",""
"option_bfebccaad765424d9c36a5c3856647aa","只是巧合而已",""
"option_698f538292b940c1a7d4dde578aa6fc9","这里就是事件现场",""
"content_99c1d34a4f6b496584cdbf1d8f24014d","唯一可能就是这里就是事件现场了吧..",""
"content_54816ffc39fc4b25b522bf51caca6693","唉！？报纸上不是说有三人就是死在这里吗？",""
"content_00801691a4b04b52aba6942dfb686fcf","那不是说我们在这里会有危险！？",""
"content_160aef71bbb8417399ba6274286e6c91","乔伊别怕，虽然不知道三个人的死因，不过他们的情况和我们不同，我们是不会有事的。",""
"content_a2682d017d114023b6704a228431436b","可是....",""
"content_c082fc1ffb0c4ed48532dfc34b219dc0","应该只是巧合而已。",""
"content_801e01eea6a64d969efe9c3661932c12","...你认真的吗？",""
"content_3f5244f07b884518801f1e27ca99024b","好吧我不想让大家太过恐慌，虽然我是想说这只是巧合，不过也巧过头了。",""
"content_ef047a8f861e43cf920ccf8cee51006f","的确我们不用太过害怕，而且我们从报纸中了解到的是，那三人是听到有什么声响出去才遇害的。",""
"content_108b20b1ddcb485c8ca9b4584113b224","也许小屋外面会有什么危险，我们要小心一点。",""
"content_b9767d707697417b827962c021237627","求生的同时还要留意未知的危险吗，感觉情况越来越复杂了...",""
"content_103905232df045a39db58a60d2b96ffe","好了，我们完成了对小屋本身的探索，可以对当前的情况做一个总结了。",""
"content_3aed3737a4064021b6eea87db64cfdd5","嗯嗯，首先最重要的一点是，从报纸中我们知道了当前的位置。",""
"content_4aca50f1f0bb479db677da355de4fd0e","我们在一座叫马洛克夫的雪山上，从世界地图上看这座山海拔大约是2000米左右，下山的位置在北边。",""
"content_27b6164b0405495889c31cea910e0346","2000米..感觉我一下子就能下山呢！",""
"content_569b708d43a64278849d00be5837d8ac","这个可只是单纯的海拔高度哦，实际下山路线很可能兜兜转转，不知道有多远。",""
"content_41ac500ffce14210aba7a55c37c1d859","而且在雪地行走消耗的时间和体力比平地要困难得多，可能2000米一天也走不完。",""
"content_1b00e1626c2443289369a141d91445c5","唔...我还是有点想试一下直接下山...",""
"content_49b53bcacb184a9fb0d0992d1986a5d4","即使你能成功走下山也不一定会得救哦，毕竟从世界地图看这附近没有人住啊。",""
"content_5b991d4886b6471ba463aee1f824e3c3","好吧你赢了，我放弃。",""
"content_37c49fbcb54b4105ba957141caebabdb","然后我检查了一下这里的食物和柴火的情况，按照正常速度消耗的话，食物和柴火大概只能使用3天左右。",""
"content_6d70e4cc49d64dd2b6496d2cd8f29f17","3天吗...也就是如果3天救援没来基本上我们就死定了吗...",""
"content_7cccbf61e676426aba84bdbfb30fb231","不要！！我可不想死！！",""
"content_b8ecc4a6ce09427ba66e0a344da23021","...正因为情形这么严峻，所以我们需要有一个人来按照需要分配资源，尽量让我们能够活得更久一点。",""
"content_575902500128426585c7e23ebfeb6d14","乔伊由你来分配资源吧，我相信你。",""
"content_f510fb5d90504a5ba06003ff0b6b55b5","不怕我分配食物的时候偷偷给自己多分一点吗？人在饥饿的情况下什么都会做的哦？",""
"content_5ef146b2395a4880817f534eb4639195","如果你真的想这么做就不会说这样的话了，而且如果你真的这么自私在雪地时就不会救我们了。",""
"content_cdbd3621aee04c2d8537f7ad0002a13d","嗯嗯，我也相信大哥哥！",""
"content_6054c5a7f38a4e5cacca8428e6c06c8a","好吧既然这样，就由我来分配资源吧。",""
"content_a123b741681249aaa2c97d6a4e634516","时间也不早了，今天先休息吧，要做什么事情明天再说。",""
"content_cd2a2b0aa062484eb31008fec3e87da2","嗯...《七龟珠》我都看了不止几十遍了...",""
"content_1a60ec84acf84d62bd24ede4ee74e51f","在这里好无聊啊..",""
"content_96cf76934eb947c0be03f45f163184db","是啊，现在外面下大雪的情况下我们基本上什么都做不了。",""
"content_9f9d80629ba747aeb8bdd46842d2d66c","这里没有什么游戏之类的吗？",""
"content_7a80584337c24c74a139fb245182fd8f","没有呢，扑克、棋子什么的都没有。",""
"content_7c0f29001071499fae11db66e8bf12ea","啊~~~好无聊啊~~~",""
"content_6ea933223eb54319975be829bc19586d","如果无聊的话要不和我打一场？",""
"content_19a5b1f6ecb54a8d992b5089ea68462d","才不要~~之前和你来了一场立刻就被摔出去了，现在身体还在痛呢。",""
"content_29fef7f765b846a5b6eee77044e6d4be","哈哈那只是处于本能不小心摔了出去，我保证下次不会这样......至少摔得轻一点。",""
"content_1670b0d953994fd595cb3a6e958068fd","那不还是会摔吗！！",""
"content_9f55d389234c454c841fdca51686adb5","唔...有没有什么是不需要特定道具也能不停玩的游戏呢？",""
"content_b683d9d86f3d4cdcb0e8804a287acbc0","这么一说的话我想到了一个游戏满足这个条件。",""
"content_c0a72916350d4b3ca5d3ddec9a1a943d","啊，我也想到了。",""
"content_dce434df63d3483ca7cb3d1467992fe8","会有这样的游戏吗？...哦哦！！是那个！！",""
"content_f112135c3df442aea32f07c9bdaa5fd6","没错，就是：
",""
"option_bcd0e04783974d8d942b79f6c20c600a","捉迷藏",""
"option_c8ed5ae3c65d4036bf77b643547e9884","龙与地下城",""
"option_28196ade59f9420a8256f5b68ed4c4ff","石头剪刀布",""
"content_f80a14d91cf04015a26df437dd62ffb5","这间小屋就这么大的地方，哪来的地方给我们玩捉迷藏啊。",""
"content_b5f37d97e6914b9da198a928229b6f7b","满足这样条件的游戏当然是——",""
"content_4738f2bc78cf4486863433f75f03a29c","龙与地下城！！！",""
"content_78a1fe2cdc724db5a40c91a1a176b9b0","石头剪刀布的话太无聊了啦！",""
"content_c9ec162a01b940dd9c017e3cfe6f2e52","也不一定，野球拳就很刺激。",""
"content_3966c2cacd40441b8046f85b312b5379","那是什么？",""
"content_cbe2296f0bea4df7a2b57752177c2307","乔伊不用知道也可以哦，对小孩子来说还是太早了。",""
"content_8e89b21ce1c94af39419699658f8ca6f","？？算了，总之这样的游戏当然是——",""
"content_2e9e30e91e1a4ddbaba46cd2498df492","嗯嗯，这个只需要笔和纸就可以玩了。",""
"content_f9b36bae31c94d598d8ebe2317fbed24","还有骰子。",""
"content_b8423308574f43f997bfbe5fac633f32","啊，这里没有骰子！",""
"content_35489baf85c0483e88b917b3c902840f","骰子只是模拟随机性的道具而已，总有方法代替的。",""
"content_c97ba63c0c4343f2b0d7a4b192c68836","可是该用什么办法来模拟一个20面骰子的效果呢？",""
"content_87961ca6fbf147139832ffe51eec5344","我想想...你手上不是有本漫画书吗，那本书有多少页来着。",""
"content_8b6465b8974f4f0083eb718d383a79ab","200多页。",""
"content_fe0f83da48ef4ee3aabf335b1d0aecba","很好，页数够了，我想到一个模拟骰子的方法。",""
"content_8ec46fa0b1f141ea9d58458f30f76700","在要投骰子的时候，我们就闭上眼睛去翻漫画书，翻到第几页就任何投了多少。",""
"content_ba6a4d125d614ab1bdc961f7a679c9f2","如果模拟20面骰子的话，规则就是过20归零。",""
"content_45e61637fe664b34b36486d5d68e01be","当然为了防止能够凭感觉知道页数，翻的页数不能在前20页和后20页，也不能太长时间。",""
"content_682229fa893d419db2fe8737d49b3400","哦哦这样的确可以，这方法真聪明。",""
"content_0330779f81004314b78cdf7ff5c6e928","嗯嗯，我先做下准备，之后再开始游戏！",""
"content_62ec43f798cb4eeca8201bded0c772ce","欢迎各位冒险者来到龙与地下城的世界！",""
"content_48a31c6f14024db39dd492b9cc7289d6","这次由我来当DM，你们先做个人物卡吧。",""
"content_96740aa87a2f4c5fb6f6dab8be444501","好，这次我要当：",""
"option_78eac59882204eb5bd6c40d558baaf70","战士",""
"option_3d76cb79e30e4995a30f676e84686e55","法师",""
"content_7487136586d1440bb1119869d60ce82e","那我就当个战士吧。",""
"content_ba83d1872b934b41827001674740ce71","既然你选择当法师，那么我就当个战士吧。",""
"content_06980eda0f254e9bb1d4688b78e5aab3","好，那么冒险就要开始了！",""
"content_23bc7c4c1b81451b8e2c38f08813e053","你们来到国王的宫殿，国王向你们倾诉公主被恶魔抓走了，希望你们能够救回公主，你们决定怎么做？",""
"content_d4d7049e434844539a5e0a3c264137bb","（该怎么做呢？）",""
"option_b6e10f88a18b40ce9f9d2eb076ff114c","同意",""
"option_bee2d85383da4deaa413bf830cc8c636","索要报酬",""
"content_4d7141664dc24b5c9356aada09765bf9","作为冒险者拯救人民是应该的！我们接受这次委托。",""
"content_f32cb46408094fe1ab09346617766e55","我可不白帮忙，帮助你救公主我们能获得什么报酬？",""
"content_3d3a3fcb45684a25a9a0a58d8fd64e8c","国王面露难色，他说国家已经很贫困了，实在拿不出报酬。",""
"content_93ba03cdc1c74d8ca4cd0e78c47aa882","然后他脸上突然出现了意义不明的笑容，说到如果能够救公主出来的话就把公主许配给战士。",""
"content_27acfc5e50314b9c96e4012c634ee01f","！！好！作为冒险者拯救人民是应该的！我们接受这次委托！！",""
"content_07fa41b3645f496cbfb79b72921fafee","...你接受得还真快。",""
"content_390fb831248a4ff1b4bc28252c644d20","！！好！作为冒险者拯救人民是应该的！我们接受这次委托！！",""
"content_c3cb2ce6623c4f4e9d2351474a432ba0","...你接受得也很快嘛...",""
"content_64c02fd91666464c85fcaa9ff5f14107","说的也是。",""
"content_81a1ddafcd6048708c9d4aa927635757","总之你们踏上了拯救公主的道路。",""
"content_6d7fd46b99e544dd8a9540d771886eaf","你们来到了一个洞窟，看到了恶魔旁边有一位被斗篷遮住样貌的女子。",""
"content_803208dfec0e40b4a97f96c849b54bf6","好，这次我要当法师。",""
"content_530bac6126fa4d149d6e58a36712dc11","感觉你选择的职业和现实一样呢。",""
"content_29d1d3843844431cb383110f53f3269c","唔？你想要再和我玩下摔跤吗？",""
"content_7e6a2fc13b3d48e0b905b80d8e6b112a","咳咳！！总之你们的冒险开始了！",""
"content_f4d96e16c96343e9a2ec057e569b90ea","恶魔！马上把公主交出来！",""
"content_7c5447c6f36f478ba94766844835ef03","恶魔无奈地看了你们一眼，然后说了声好。",""
"content_8aa9bdb714944b009ee7612875671ab9","看来战斗不可避免了，尝下我的厉害！！....等下，那个恶魔是说“好”了吗？",""
"content_89ffb62309bf46df9991161793b8b25c","你再次问了下，恶魔还是说直接把公主带走吧，并且它一脸不耐烦的样子。",""
"content_19b6a732b86642438d3e2fd4570258de","这展开不对劲，事出必有妖，我选择把公主的斗篷掀开。",""
"content_3978f62c9ce549ee9d8768f1f58558d7","国王露出欣喜的笑容，他说如果能够救公主出来的话，就把公主许配给战士。",""
"content_a546f0b0809d409b8e481a32369d9f1a","你接受得也太快了，不要点报酬感觉有点亏。",""
"content_e9df9e2884004165a70b5c55847bbc98","公主的斗篷被摘下来，她看起来没受什么伤害，只是....",""
"content_328c551f32214c56952f33d971e51576","只是一个长着柠檬头、老鼠眼、八字眉、招风耳、大翻嘴、老姜牙、长短手、饭桶腰的女人站在你面前而已。",""
"content_aa6f7e15fc4e4051b840f9142ec2bea7","...看来公主比恶魔更像恶魔，我们走吧。",""
"content_5b0fd77b60f0437e92c96e83e2002654","委托还没完成啊！恶魔你是对公主施了什么魔法吗！？",""
"content_c0d3aa1789014af6873a6f6efc39eac9","恶魔表示它什么都没做，这位公主看着它长得帅气就一直跟着它。",""
"content_050b970d97114c079fb19fd76452252f","好好好真相大白，公主没危险，我们可以走了。",""
"content_43eee7c418944f42858293681b75ceed","委托可是把公主待回到国王那里，公主跟我们走吧。",""
"content_ca807f9b1f22492dbf27ffa4ba0465e3","那个国王可是说要把公主分配给我啊！！！要逃跑只能趁现在了！！",""
"content_1fb9585dd2444d15be5306aa4d9461ee","接了委托就要完成！！",""
"content_f1f0495f2c6d45ad8ae992d4b56f548e","不要啊！！！！！",""
"content_ba258b105ac447b6b7361e66c9514a83","国王看到你们带回来公主十分开心，然后为战士和公主举办了婚礼。",""
"content_c8a388277b044559a920056df7533f83","从此战士和公主幸福地生活在一起，可喜可贺！",""
"content_e6fef8831c4e4ad7af50b671d98cdac5","这样的结局才不是可喜可贺啊！！！！",""
"content_80b1e808bdb5493da682b1f512ea0d22","哈...哈...哈....",""
"content_776e8372be924c528a85a9d9f8e2efff","现在就做剧烈运动消耗体力可不是一个好主意哦。",""
"content_3aafff52a0cc4fd1a1f8ff819b494136","这里太冷了，热下身能够保持下温度。",""
"content_eecc5a6fd38f4fa2b47814b6d88c834b","是吗。",""
"content_7874fc872dd0439d83d1be4010c9da90","有兴趣和我打一场吗，就当玩一玩。",""
"content_6a2d9741b19f47a993a4715ee6cb7793","好吧，反正我也没事情做。",""
"content_baa5d0c3a17f406fbdc1f5e84aae00ae","例如我翻到了60页，那就认为投出了0，翻到了65页，认为投出了5。",""
"content_5fccebd7f0e245158aa91281422b70c6","只是一个长着柠檬头、老鼠眼、鹰勾鼻、八字眉、招风耳、大翻嘴、老姜牙、灯芯脖子、高低搏、长短手、鸡胸、狗肚、饭桶腰的女人站在你面前而已。",""
"content_2141b8fac333498aba5071b05c0e2d50","它实在受不了公主的样子，于是就拿了个斗篷把她围起来了。",""
"content_bce7e33744cc4a05b266a85b7b9a45fc","等雪停了再说吧。",""
"content_eef8e2371a7d483e9853c6f1651a1919","”当时夜晚他们在一间小屋扎营，然后听到屋外西边有奇怪的声响。“",""
"content_0a73eb97a2f746739c710da9145c59ab","“至于三人死亡的具体原因，目前还在调查中。”",""
"content_a61934b9d7d24e62ab62e46948e17ef5","”三位登山者决定出去查明原因，留雷伊一个人在屋子里。“",""
"content_3cdc0ad5b9d64321856d4b784034b20e","准备好了吗，我要上了哦。",""
"content_9910cf78cc344540a435c674c27c26ab","来吧，我觉得你可打不赢.......",""
"content_20c19fcd16004d37a861a640078be2bc","....我？？？",""
"content_3727c42c73fb4cc98229ac4b0ad6d673","好痛啊！！！",""
"content_fdc96fe13086491097800472a617f558","对了，忘记跟你说了，我空手道黑带。",""
"content_6c75ebb3c84c40c9aa587e970cdb0c9c","这种事情要提早说啊！！！",""
"content_dffc48c5d8b747e9a8877e7247686ca1","..在我被她摔出去后也是这么想的....",""
"content_01b222dbed2c4683a8d82e171303da3d","如果无聊的话要不和我打一场？",""
"content_218fc63fbce646efa047ac5b74d61053","今天是雪一直没停啊...",""
"content_1ec21435e8e146f7b1053f66dca9ec4e","在这里只能等待的感觉太痛苦了...",""
"content_d9163281debb4ab9aef189911a6a3be5","我想念我的爸爸妈妈了....",""
"content_9307066300294c27bbf8f7c2e0258399","......",""
"content_64ce976f9d984ed5ac1ed2fac43c8fd2","我们真的能回去吗....",""
